id_estacion,nombre_calle,lat,lon,altitud,direccion,cruce_calles,codigo_postal,index_right,codigo_distrito,nombre_distrito
484,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI",41.4345997,2.1585268,104.0,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI",07-Horta-Guinardó/43-Horta,8031.0,7,07,Horta-Guinardó
485,"PG. VALLDAURA, 26",41.4374904,2.1565742,121.0,"PG. VALLDAURA, 26",07-Horta-Guinardó/43-Horta,8031.0,7,07,Horta-Guinardó
486,"C/ PORTO, 35 | AV. ESTATUT DE CATALUNYA",41.4306102,2.1564551,81.0,"C/ PORTO, 35 | AV. ESTATUT DE CATALUNYA",07-Horta-Guinardó/43-Horta,8032.0,7,07,Horta-Guinardó
487,"C/ LISBOA, 128",41.4267638,2.1521909,98.0,"C/ LISBOA, 128",07-Horta-Guinardó/42-la Clota,8032.0,7,07,Horta-Guinardó
488,"AV. CAN MARCET, 36",41.4347859,2.147904,132.0,"AV. CAN MARCET, 36",07-Horta-Guinardó/41-la Vall d'Hebron,8035.0,7,07,Horta-Guinardó
489,"C/ JORGE MANRIQUE, 15",41.4312335,2.1499103,119.0,"C/ JORGE MANRIQUE, 15",07-Horta-Guinardó/41-la Vall d'Hebron,8035.0,7,07,Horta-Guinardó
490,"PG. VALL D'HEBRÓN, 168",41.4280668,2.1443777,150.0,"PG. VALL D'HEBRÓN, 168",07-Horta-Guinardó/41-la Vall d'Hebron,8035.0,7,07,Horta-Guinardó
491,"C/ PARE MARIANA, 24",41.4306689,2.1456449,125.0,"C/ PARE MARIANA, 24",07-Horta-Guinardó/41-la Vall d'Hebron,8035.0,7,07,Horta-Guinardó
492,PL. TETUAN,41.3943454,2.1751709,18.0,PL. TETUAN,02-Eixample/07-la Dreta de l'Eixample,8010.0,2,02,Eixample
493,"PG. VALL D'HEBRÓN, 80",41.419965,2.1401823,166.0,"PG. VALL D'HEBRÓN, 80",06-Gràcia/28-Vallcarca i els Penitents,8023.0,6,06,Gràcia
494,"RBLA. CATALUNYA, 33 - C/ DIPUTACIÓ",41.3896967,2.1652199,25.0,"RBLA. CATALUNYA, 33 - C/ DIPUTACIÓ",02-Eixample/07-la Dreta de l'Eixample,8007.0,2,02,Eixample
495,"C/ DIPUTACIÓ, 22",41.377846,2.150523,24.0,"C/ DIPUTACIÓ, 22",02-Eixample/09-la Nova Esquerra de l'Eixample,8015.0,2,02,Eixample
496,"C/ PROVENÇA,  445",41.4048623,2.174799,33.0,"C/ PROVENÇA, 445",02-Eixample/06-la Sagrada Família,8025.0,2,02,Eixample
497,"PTGE. MALUQUER, 16",41.4095489,2.1360313,124.0,"PTGE. MALUQUER, 16",05-Sarrià-StGervasi/25-Sant Gervasi - la Bonanova,8022.0,5,05,Sarrià-Sant Gervasi
498,"C/ ESTEVE TERRADAS, 42",41.4144967,2.1402433,145.0,"C/ ESTEVE TERRADAS, 42",06-Gràcia/28-Vallcarca i els Penitents,8023.0,6,06,Gràcia
499,"AV. VALLCARCA, 196",41.4160558,2.1421504,127.0,"AV. VALLCARCA, 196",06-Gràcia/28-Vallcarca i els Penitents,8023.0,6,06,Gràcia
500,"C/ ARGENTERA, 23",41.4117633,2.1453424,101.0,"C/ ARGENTERA, 23",06-Gràcia/28-Vallcarca i els Penitents,8023.0,6,06,Gràcia
501,"C/ ELISA, 1",41.4052698,2.1420204,95.0,"C/ ELISA, 1",05-Sarrià-StGervasi/27-el Putxet i el Farró,8023.0,5,05,Sarrià-Sant Gervasi
502,"AV. VALLCARCA, 11",41.4074444,2.1492066,88.0,"AV. VALLCARCA, 11",06-Gràcia/28-Vallcarca i els Penitents,8023.0,6,06,Gràcia
503,"C/ MAIGNON, 31-41",41.4095926,2.1524953,105.0,"C/ MAIGNON, 31-41",06-Gràcia/30-la Salut,8024.0,6,06,Gràcia
504,"C/ MASSENS, 76",41.4092333,2.1557747,87.0,"C/ MASSENS, 76",06-Gràcia/31-la Vila de Gràcia,8024.0,6,06,Gràcia
505,"C/ CAMÈLIES, 78",41.4145614,2.1658677,118.0,"C/ CAMÈLIES, 78",07-Horta-Guinardó/33-el Baix Guinardó,8024.0,7,07,Horta-Guinardó
506,"C/ GARRIGA I ROCA, 2",41.4191957,2.1718497,107.0,"C/ GARRIGA I ROCA, 2",07-Horta-Guinardó/35-el Guinardó,8041.0,7,07,Horta-Guinardó
507,"C/ SARDENYA, 494",41.4107641,2.1640965,81.0,"C/ SARDENYA, 494",07-Horta-Guinardó/33-el Baix Guinardó,8024.0,7,07,Horta-Guinardó
508,"C/ SARDENYA, 465",41.4090922,2.1656378,70.0,"C/ SARDENYA, 465",06-Gràcia/32-el Camp d'en Grassot i Gràcia Nova,8025.0,6,06,Gràcia
509,"C/ TORRENT DE L'OLLA, 11",41.3989713,2.1606736,46.0,"C/ TORRENT DE L'OLLA, 11",06-Gràcia/31-la Vila de Gràcia,8012.0,6,06,Gràcia
510,"C/ GRAN DE GRÀCIA, 37",41.3989151,2.1564253,55.0,"C/ GRAN DE GRÀCIA, 37",06-Gràcia/31-la Vila de Gràcia,8012.0,6,06,Gràcia
511,"C/ GRAN DE GRÀCIA, 91",41.4006862,2.1543317,61.0,"C/ GRAN DE GRÀCIA, 91",06-Gràcia/31-la Vila de Gràcia,8012.0,6,06,Gràcia
