id_estacio,lat,lon,nom_districte,cluster,cluster_name,capacitat_mitja,nab_lab_h06_08,nab_lab_h08_10,nab_lab_h10_12,nab_lab_h12_14,nab_lab_h14_16,nab_lab_h16_18,nab_lab_h18_20,nab_lab_h20_22,nab_lab_h22_00,nab_fest_h06_10,nab_fest_h10_14,nab_fest_h14_18,nab_fest_h18_22,nab_fest_h22_00,std_nab_global,mitja_nab_global,std_nab_punta_matinada,std_nab_punta_tarda,mitja_rang_bicis_norm,mitja_rang_anclatges_norm,ratio_buida_global,ratio_plena_global,ratio_extremes_global,ratio_buida_hora_punta,ratio_plena_hora_punta,nab_mitja_punta_matinada,nab_mitja_punta_tarda
1,41.3979779,2.1801069,Eixample,2,Origen Commuter Matí,43.984516772295336,0.44670591565689655,0.19403162491861875,0.13468951370116256,0.15834195441448537,0.2311818721225159,0.28300026450780424,0.27404041240885385,0.30430062154579685,0.4055698647064576,0.44111915607411656,0.2795670156164769,0.21547810550831903,0.23436737614422376,0.29545079226553206,0.21806167313334665,0.33096075309641987,0.19756100197767035,0.17435271070057995,0.057390102015243014,0.057667684988320866,0.0692860401459854,0.0015967153284671533,0.0,0.1199914748508099,0.00010656436487638534,0.2617282997167176,0.27799338063444173
10,41.3467746,2.1436235,Sants-Montjuïc,3,Ús Mixt Equilibrat,42.69075003427944,0.36422603886392546,0.49826120094663,0.5547874976434257,0.5468816236612796,0.4873260457985769,0.4184856305323017,0.3735478384498154,0.3601292818174463,0.3569613594121927,0.3587361452381929,0.35458677497458235,0.3476843472501147,0.3437647043635139,0.3384049959169646,0.20439970300518057,0.3987775458064634,0.2052132515465523,0.186026219560316,0.0067891612530520794,0.006635242462100149,0.004942214111922141,0.002185979318734793,0.0,0.0037297527706734866,0.0034100596760443308,0.4582290260633047,0.3840640626639398
100,41.379363,2.143868,Sants-Montjuïc,2,Origen Commuter Matí,20.296646356993154,0.3973297919008535,0.3313809597428249,0.3369614088417607,0.3213941641336575,0.3288006665351179,0.31650315721813954,0.29765498029853726,0.26308068050649336,0.15307134374894488,0.33061241236978217,0.6207245442803172,0.4966665897497547,0.2619691658958412,0.14199808483321183,0.25537026045311784,0.29079851111671173,0.22786068468888093,0.24475255066563986,0.09772358298008134,0.09792310027106085,0.19533150851581507,0.023532542579075427,0.0,0.15707587382779198,0.021099744245524295,0.3798988570460128,0.3042198419212839
101,41.392878,2.143411,Sarrià-Sant Gervasi,0,Perifèric Baix Ús,22.054250156789,0.3256343298074352,0.3895510794744665,0.4494876376645205,0.42564553750634004,0.3586802517689589,0.2705510638148255,0.15882461368053816,0.15775271022714846,0.18745641897835108,0.15254901990336195,0.27428345352212646,0.22890090969121626,0.22861543758693612,0.26481592439931795,0.2444591004787336,0.24888853014413714,0.24639785898342528,0.2181806865017893,0.10110721107554942,0.10195895088919935,0.2605307177615572,0.010511709245742093,0.0,0.25607416879795397,0.013427109974424553,0.3925100576071249,0.1929264312384119
102,41.392567,2.1422174,Sarrià-Sant Gervasi,0,Perifèric Baix Ús,23.09008560738144,0.3154983092944386,0.36479885113884836,0.4189690401347206,0.406681657126105,0.3388434147399969,0.2527661523111958,0.13383517096467237,0.13594251960470335,0.18083887496294881,0.15471215636706495,0.2181508580459892,0.1872463676639212,0.1853855654721718,0.2251726008026284,0.2520807474491341,0.24057028375883377,0.24205421550305428,0.22729042688616163,0.06141601873636596,0.061628580892189144,0.32498859489051096,0.009599300486618004,0.00028512773722627735,0.3220375106564365,0.00937766410912191,0.3539997638364721,0.1668968318733364
103,41.410098,2.1884487,Sant Martí,2,Origen Commuter Matí,19.349959237266585,0.48073661354327385,0.18230463799206553,0.11744480795613858,0.13808530543701023,0.20228323301267892,0.2638507805122121,0.32776382705469964,0.33581330239871876,0.3444154317128998,0.4241268519415457,0.5342788277581315,0.461103709385977,0.2258661304357848,0.17553190806815128,0.2566549289485364,0.3096602451950642,0.276972051665488,0.22764424884848522,0.0854175693198263,0.0850200266471431,0.17305352798053528,0.024121806569343065,1.900851581508516e-05,0.23135123614663256,0.023017902813299233,0.2941822825722147,0.3124989232465192
104,41.4108005,2.1872438,Sant Martí,2,Origen Commuter Matí,23.915872104417385,0.5031298834791428,0.17806223793331635,0.12024403704819012,0.13812074358709983,0.2821180724452308,0.3715522594621683,0.38205216194858393,0.41824116385193905,0.4454821799703241,0.4730344531619332,0.3873457569069717,0.3672397767781203,0.2765396209426133,0.2828990234325396,0.26189937644618705,0.3820433660723023,0.2512324507161295,0.22483400088151037,0.10551321888685686,0.10464207290604453,0.10059306569343066,0.02060523114355231,0.0009694343065693431,0.16240409207161124,0.015025575447570333,0.2750377692453559,0.37862384678170957
105,41.389492,2.17425,Eixample,4,Residencial Entrada Tarda,18.765924631306174,0.19066967666584303,0.4633727528301409,0.7530421048461806,0.6862410070346533,0.5301924344551672,0.5099651204251197,0.519188936697716,0.3976014279104431,0.2571592419419933,0.1969279499574453,0.4447228774937243,0.4327298320579378,0.4777927330607633,0.3368375301574833,0.2923336860748425,0.38243220636270864,0.25100808291064314,0.2605498151713215,0.1113026658159205,0.11137999047803063,0.11036344282238443,0.06145453163017032,0.0008743917274939173,0.047634271099744246,0.07832480818414322,0.3826303697401106,0.516352073061081
106,41.4055198,2.1622548,Gràcia,2,Origen Commuter Matí,16.833100898045522,0.2886022097847338,0.07524398291561563,0.07711670549912493,0.11813013762583816,0.22188143233753888,0.23285006856683135,0.32540641521088354,0.47349626082196505,0.4957397213257325,0.20224096157091515,0.1382883599784437,0.1373665141148625,0.2893684764901313,0.39539022505469545,0.2576693591035516,0.2720573776755797,0.15830583605517623,0.23826081048982967,0.1453190689121186,0.14652671977418316,0.30656934306569344,0.02531934306569343,0.00034215328467153286,0.42934782608695654,0.015878090366581415,0.11386098389662733,0.2963736227568479
107,41.3982304,2.1531031,Sarrià-Sant Gervasi,0,Perifèric Baix Ús,17.56039265320549,0.2597511333751248,0.30595718705531133,0.37085500505016844,0.3296511230411867,0.20269577504438913,0.1916704081880614,0.1610594956967759,0.18323572902680169,0.2032391284769326,0.11152517372532193,0.17798211336602449,0.14073836422457706,0.2692091309931298,0.35718400225137265,0.22479030640255343,0.2162777024707942,0.25720989485202583,0.16836098809458144,0.12999808399145546,0.1330737186842949,0.33359945255474455,0.01971183090024331,0.0012545620437956204,0.3635976129582268,0.031010230179028132,0.3054072338172107,0.16713873712391097
