cluster,cluster_name,n_stations,top_district,capacitat_mitja_mean,nab_global_mean,std_nab_mean,ratio_buida_mean,ratio_plena_mean
0,Perifèric Baix Ús,132,Sarrià-Sant Gervasi,25.161290608519334,0.21748226924948635,0.2011245641994651,0.20618479503059794,0.0035352959337904594
1,Central Alta Ocupació,42,Ciutat Vella,20.81857493540688,0.5873873678226141,0.28467584855084405,0.03869726494612443,0.13666262961997452
2,Origen Commuter Matí,162,Eixample,24.610601689774974,0.3701898084707317,0.26517202979598126,0.12327139842600103,0.02437818685981196
3,Ús Mixt Equilibrat,122,Sant Martí,30.630084464118593,0.49032645043202294,0.2525667297078638,0.022655813738981297,0.03675109563838699
4,Residencial Entrada Tarda,59,Eixample,26.341659418551316,0.35925146962164817,0.29404770329662594,0.15648132397212258,0.05442943523444266
