k,inertia,silhouette
2,9103.77238552701,0.3226575285240673
3,7574.980337534145,0.23927421684476152
4,6860.61786274053,0.24027512880347118
5,6216.208327851574,0.23037921402612035
6,5768.157074376147,0.19205882449984
7,5299.299184219379,0.19559000761023157
8,4887.870095615941,0.20693821552326055
9,4503.7564596199445,0.21762550470021425
10,4317.780839543677,0.22083891493895544
11,4141.646734774064,0.2009198667084973
12,3964.9819348555475,0.19439288566048357
